,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
27,Washington Wizards,27.0,19,63,23,59,-6.67,-0.08,-6.75,100.6,107.8,-7.2,92.7,.348,.131,.514,.460,15.7,29.7,.264,.503,14.1,71.8,.236,MCI Center,638653,15577
28,Golden State Warriors,26.6,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,-9.6,94.1,.282,.134,.470,.429,13.9,33.3,.199,.504,15.0,69.7,.227,The Arena in Oakland,591981,14439
29,Chicago Bulls,23.2,15,67,16,66,-9.10,0.01,-9.09,97.2,107.3,-10.1,89.3,.298,.148,.495,.450,15.1,26.6,.220,.499,14.3,70.3,.254,United Center,888654,21674
,League Average,27.8,,,41,41,0.00,0.00,0.00,103.0,103.0,,91.3,.309,.170,.518,.473,14.1,28.2,.231,.473,14.1,71.8,.231,,687864,16777
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Sacramento Kings*,27.0,61,21,61,21,7.61,0.00,7.61,109.0,101.1,+7.9,95.6,.308,.166,.539,.497,12.4,27.9,.231,.467,13.6,71.7,.185,ARCO Arena (II),709997,17317
2,Los Angeles Lakers*,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,+7.7,92.1,.313,.210,.534,.498,11.8,28.8,.218,.453,13.0,72.0,.233,STAPLES Center,778777,18995
3,San Antonio Spurs*,28.5,58,24,59,23,6.21,0.07,6.28,106.5,99.7,+6.8,90.0,.353,.190,.539,.492,13.8,27.2,.262,.453,13.7,71.9,.189,Alamodome,906390,22107
4,Dallas Mavericks*,27.6,57,25,53,29,4.26,0.16,4.41,112.2,107.7,+4.5,92.8,.288,.237,.553,.507,11.3,26.1,.232,.485,12.9,70.7,.239,American Airlines Center,802783,19580
5,New Jersey Nets*,26.1,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,+4.5,91.8,.280,.175,.515,.476,13.4,29.2,.206,.459,14.9,71.6,.213,Continental Airlines Arena,564194,13761
6,Minnesota Timberwolves*,26.7,50,32,51,31,3.38,0.20,3.58,109.0,105.3,+3.7,90.5,.255,.152,.532,.490,12.5,31.3,.203,.482,12.7,73.7,.218,Target Center,731673,17846
7,Seattle SuperSonics*,26.9,45,37,50,32,3.02,0.22,3.24,108.9,105.6,+3.3,89.0,.250,.193,.540,.505,13.2,29.4,.189,.485,14.5,68.1,.206,KeyArena at Seattle Center,633516,15452
8,Portland Trail Blazers*,29.0,49,33,50,32,2.99,0.22,3.21,107.4,104.0,+3.4,89.3,.285,.198,.528,.485,13.5,31.8,.218,.489,14.2,73.3,.202,Rose Garden Arena,797821,19459
